"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",321,"PercLoss",-20.059,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",158,"PercLoss",-14.955,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12227,"PercGain",0.527,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",9870,"PercGain",0.239,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304239,"PercGain",0.527,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299360,"PercGain",0.239,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",48729,"PercGain",0.527,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",56128,"PercGain",0.239,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",321,"PercGain",0.527,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",158,"PercGain",0.239,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12227,"SpeciesRangeChange",-19.532,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",9870,"SpeciesRangeChange",-14.716,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304239,"SpeciesRangeChange",-19.532,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299360,"SpeciesRangeChange",-14.716,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",48729,"SpeciesRangeChange",-19.532,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",56128,"SpeciesRangeChange",-14.716,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",321,"SpeciesRangeChange",-19.532,"FutureRangeSize.NoDisp",48729
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",158,"SpeciesRangeChange",-14.716,"FutureRangeSize.NoDisp",56128
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12227,"PercLoss",-20.059,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",9870,"PercLoss",-14.955,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304239,"PercLoss",-20.059,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299360,"PercLoss",-14.955,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",48729,"PercLoss",-20.059,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",56128,"PercLoss",-14.955,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",321,"PercLoss",-20.059,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",158,"PercLoss",-14.955,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12227,"PercGain",0.527,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",9870,"PercGain",0.239,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304239,"PercGain",0.527,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299360,"PercGain",0.239,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",48729,"PercGain",0.527,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",56128,"PercGain",0.239,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",321,"PercGain",0.527,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",158,"PercGain",0.239,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",12227,"SpeciesRangeChange",-19.532,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Loss",9870,"SpeciesRangeChange",-14.716,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",304239,"SpeciesRangeChange",-19.532,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable0",299360,"SpeciesRangeChange",-14.716,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",48729,"SpeciesRangeChange",-19.532,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Stable1",56128,"SpeciesRangeChange",-14.716,"FutureRangeSize.FullDisp",56286
"Pinus.roxburghii_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",321,"SpeciesRangeChange",-19.532,"FutureRangeSize.FullDisp",49050
"Pinus.roxburghii_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Pinus.roxburghii","Gain",158,"SpeciesRangeChange",-14.716,"FutureRangeSize.FullDisp",56286
