"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",16141,"SpeciesRangeChange",-77.252,"FutureRangeSize.NoDisp",4678
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",19374,"SpeciesRangeChange",-62.715,"FutureRangeSize.NoDisp",10434
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344639,"SpeciesRangeChange",-77.252,"FutureRangeSize.NoDisp",4678
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335028,"SpeciesRangeChange",-62.715,"FutureRangeSize.NoDisp",10434
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",4678,"SpeciesRangeChange",-77.252,"FutureRangeSize.NoDisp",4678
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10434,"SpeciesRangeChange",-62.715,"FutureRangeSize.NoDisp",10434
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",58,"SpeciesRangeChange",-77.252,"FutureRangeSize.NoDisp",4678
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",680,"SpeciesRangeChange",-62.715,"FutureRangeSize.NoDisp",10434
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",16141,"PercLoss",-77.53,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",19374,"PercLoss",-64.996,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344639,"PercLoss",-77.53,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335028,"PercLoss",-64.996,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",4678,"PercLoss",-77.53,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10434,"PercLoss",-64.996,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",58,"PercLoss",-77.53,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",680,"PercLoss",-64.996,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",16141,"PercGain",0.279,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",19374,"PercGain",2.281,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344639,"PercGain",0.279,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335028,"PercGain",2.281,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",4678,"PercGain",0.279,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10434,"PercGain",2.281,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",58,"PercGain",0.279,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",680,"PercGain",2.281,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",16141,"SpeciesRangeChange",-77.252,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Loss",19374,"SpeciesRangeChange",-62.715,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",344639,"SpeciesRangeChange",-77.252,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable0",335028,"SpeciesRangeChange",-62.715,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",4678,"SpeciesRangeChange",-77.252,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Stable1",10434,"SpeciesRangeChange",-62.715,"FutureRangeSize.FullDisp",11114
"Taxus.wallichiana_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",58,"SpeciesRangeChange",-77.252,"FutureRangeSize.FullDisp",4736
"Taxus.wallichiana_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Taxus.wallichiana","Gain",680,"SpeciesRangeChange",-62.715,"FutureRangeSize.FullDisp",11114
