"full.name","group.level","group.value","count.level","count.value","perc.level","perc.value","range.level","range.value"
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"SpeciesRangeChange",-9.231,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"SpeciesRangeChange",-10.814,"CurrentRangeSize",48614
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"SpeciesRangeChange",-9.231,"CurrentRangeSize",48447
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",7991,"PercLoss",-16.438,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",6972,"PercLoss",-14.391,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314168,"PercLoss",-16.438,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314569,"PercLoss",-14.391,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40623,"PercLoss",-16.438,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"PercLoss",-14.391,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"PercLoss",-16.438,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"PercLoss",-14.391,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",7991,"PercGain",5.624,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",6972,"PercGain",5.16,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314168,"PercGain",5.624,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314569,"PercGain",5.16,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40623,"PercGain",5.624,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"PercGain",5.16,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"PercGain",5.624,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"PercGain",5.16,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",7991,"SpeciesRangeChange",-10.814,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",6972,"SpeciesRangeChange",-9.231,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314168,"SpeciesRangeChange",-10.814,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314569,"SpeciesRangeChange",-9.231,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40623,"SpeciesRangeChange",-10.814,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"SpeciesRangeChange",-9.231,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"SpeciesRangeChange",-10.814,"FutureRangeSize.NoDisp",40623
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"SpeciesRangeChange",-9.231,"FutureRangeSize.NoDisp",41475
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",7991,"PercLoss",-16.438,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",6972,"PercLoss",-14.391,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314168,"PercLoss",-16.438,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314569,"PercLoss",-14.391,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40623,"PercLoss",-16.438,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"PercLoss",-14.391,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"PercLoss",-16.438,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"PercLoss",-14.391,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",7991,"PercGain",5.624,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",6972,"PercGain",5.16,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314168,"PercGain",5.624,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314569,"PercGain",5.16,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40623,"PercGain",5.624,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"PercGain",5.16,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"PercGain",5.624,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"PercGain",5.16,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",7991,"SpeciesRangeChange",-10.814,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Loss",6972,"SpeciesRangeChange",-9.231,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314168,"SpeciesRangeChange",-10.814,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable0",314569,"SpeciesRangeChange",-9.231,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",40623,"SpeciesRangeChange",-10.814,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Stable1",41475,"SpeciesRangeChange",-9.231,"FutureRangeSize.FullDisp",43975
"Mallotus.philippensis_EMcaByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2734,"SpeciesRangeChange",-10.814,"FutureRangeSize.FullDisp",43357
"Mallotus.philippensis_EMwmeanByTSS_mergedData_mergedRun_mergedAlgo","Species","Mallotus.philippensis","Gain",2500,"SpeciesRangeChange",-9.231,"FutureRangeSize.FullDisp",43975
